,title,image,link,date,time
49,لحظاتی از حضور تیم استقلال تاجیکستان در تهران,https://app.akharinkhabar.ir/images/2023/10/23/Tumb_e1519a0c-1878-4286-b25a-1914438b073c.jpeg,https://akharinkhabar.ir//sport/9799214/لحظاتی-از-حضور-تیم-استقلال-تاجیکستان-در-تهران,1402-08-01,11:40:00
50,ضد حمله به سبک رئال مادرید,https://app.akharinkhabar.ir/images/2023/10/23/Tumb_051f482a-0a95-4272-92ca-604ee26fa7bd.jpeg,https://akharinkhabar.ir//sport/9799213/ضد-حمله-به-سبک-رئال-مادرید,1402-08-01,11:40:00
51,برزگر: خوشحالم که از الان به فکر المپیک هستیم,https://app.akharinkhabar.ir/images/2023/10/23/Tumb_3812e116-811d-4533-afc0-f64ed0eb4d83.jpeg,https://akharinkhabar.ir//sport/9799211/برزگر-خوشحالم-که-از-الان-به-فکر-المپیک-هستیم,1402-08-01,11:39:00
52,یکی از هنرمندانه ترین ضربات تاریخ گلف,https://app.akharinkhabar.ir/images/2023/10/23/Tumb_03fbfce1-d8e9-4646-af6f-64ffed897c2a.jpeg,https://akharinkhabar.ir//sport/9799210/یکی-از-هنرمندانه-ترین-ضربات-تاریخ-گلف,1402-08-01,11:39:00
53,حضور هاشمی جهت تجلیل از مدال‌آوران کشتی,https://app.akharinkhabar.ir/images/2023/10/23/Tumb_7de35539-d6a5-49fd-90ab-e468d34c644c.jpeg,https://akharinkhabar.ir//sport/9799208/حضور-هاشمی-جهت-تجلیل-از-مدال‌آوران-کشتی,1402-08-01,11:37:00
54,هشدار خطر امباپه برای آث میلان,https://app.akharinkhabar.ir/images/2023/10/23/Tumb_acfc210a-71b3-4bfc-a562-fa7cd9c98354.jpeg,https://akharinkhabar.ir//sport/9799206/هشدار-خطر-امباپه-برای-آث-میلان,1402-08-01,11:36:00
55,درخواست یک کشتی‌گیر برای دریافت پاداشی مانند فوتبالیست‌ها,https://app.akharinkhabar.ir/images/2023/10/23/Tumb_3dffc628-3f5a-4ec9-80d4-f92a9ad695bb.jpeg,https://akharinkhabar.ir//sport/9799195/درخواست-یک-کشتی‌گیر-برای-دریافت-پاداشی-مانند-فوتبالیست‌ها,1402-08-01,11:23:00
56,وزیر ورزش: با همدلی و آرامش می‌توان سیاست‌ها را پیش برد,https://app.akharinkhabar.ir/images/2023/10/23/Tumb_cd8285bc-c2ad-416d-bb94-365e577b38f0.jpeg,https://akharinkhabar.ir//sport/9799194/وزیر-ورزش-با-همدلی-و-آرامش-می‌توان-سیاست‌ها-را-پیش-برد,1402-08-01,11:21:00
57,تغییر عجیب مسی در آمریکا,https://app.akharinkhabar.ir/images/2023/10/23/Tumb_2c400777-b685-45eb-a70d-a0c4a7e95b57.jpeg,https://akharinkhabar.ir//sport/9799193/تغییر-عجیب-مسی-در-آمریکا,1402-08-01,11:20:00
58,شباهت گل صلاح به اورتون در فصل قبل و دو روز پیش,https://app.akharinkhabar.ir/images/2023/10/23/Tumb_3275ebbc-6f90-4402-84d2-d423e5d40561.jpeg,https://akharinkhabar.ir//sport/9799191/شباهت-گل-صلاح-به-اورتون-در-فصل-قبل-و-دو-روز-پیش,1402-08-01,11:19:00
59,مکالمه راموس و رودیگر فاش شد,https://app.akharinkhabar.ir/images/2023/10/23/Tumb_485d8f9d-f6f3-457a-b790-c4a7c3c4cbb9.jpeg,https://akharinkhabar.ir//sport/9799183/مکالمه-راموس-و-رودیگر-فاش-شد,1402-08-01,11:13:00
60,علیرضا رضایی: خیلی از قهرمانان ما محتاج نان شب‌شان هستند,https://app.akharinkhabar.ir/images/2023/10/23/Tumb_29f27863-ebce-40ca-b5a6-4b86ec3c50c7.jpeg,https://akharinkhabar.ir//sport/9799177/علیرضا-رضایی-خیلی-از-قهرمانان-ما-محتاج-نان-شب‌شان-هستند,1402-08-01,11:10:00
61,ساکت: سرمربی ما جایی نمی‌رود,https://app.akharinkhabar.ir/images/2023/10/23/Tumb_009e6616-b69d-411c-951a-111b8d6df056.jpeg,https://akharinkhabar.ir//sport/9799171/ساکت-سرمربی-ما-جایی-نمی‌رود,1402-08-01,11:06:00
